State,Cities,Hotel Name,Destination,Describe,Ratings,review_count,Actual Price,Offer Percentage,Price
Uttar Pradesh,agra,Hotel O Sai President,Near Rawali Mandir,Good,3.5,453,3962,71,932
Uttar Pradesh,agra,Hotel O ASA AGRA,Plot number 1 Fatehabad road Plot number 1 Fatehabad road  Fatehabad Roadnull,Excellent,4.5,275,2912,72,648
Uttar Pradesh,agra,Hotel O Salt And Pepper Hotel And Resturant,Near Prachin Pathwari Mandir,Good,3.5,137,4948,71,1137
Uttar Pradesh,agra,Hotel O KING PALACE,Near Fatehabad Road,Excellent,4.5,9,3378,71,797
Uttar Pradesh,agra,Hotel O 804621 Hotel Vintage House,1717 Fatehabad Road,Excellent,4.5,134,2912,70,702
Uttar Pradesh,agra,Hotel O Golden Grand,Taj Nagri -1 agraBasai Khurd Agra Uttar Pradeshindia282001,Excellent,4.5,56,2932,72,662
Uttar Pradesh,agra,Hotel O VK Palace ,Vibhav Nagar,Fabulous,5,1,3414,72,777
Uttar Pradesh,agra,Super Capital O Taj Castle,30/6 17A/A,Very Good,4,372,3907,68,1007
Uttar Pradesh,agra,Hotel O Grandfather,Near Jalsa,Excellent,4.5,8,3299,71,750
Uttar Pradesh,agra,Hotel O KNIGHT IN HOMESTAY,Fatehabad road ,Very Good,4,14,3385,71,770
Uttar Pradesh,agra,Hotel O R.K GUEST HOUSE & RESTAURANT ,Plot no 2/1 Jalesar Road tedi Baghia Tiraha Jalesar Raod agra,Fair,3,2,2697,72,606
Uttar Pradesh,agra,HOTEL O LAKSHYA PALACE ,c Palace Dehtora Road Bodla,Good,3.5,48,3252,71,739
Uttar Pradesh,agra,Hotel O Chaudhary Raj Hotal ,002002State Highway 39,Fabulous,5,1,2697,72,606
Uttar Pradesh,agra,Hotel O Taj Wonder Inn,Beside Nikhil Garden phase 2  Near panchwati Beside Nikhil Garden phase 2 Near  Panchvatinull,Very Good,4,29,3365,72,752
Uttar Pradesh,agra,Super Townhouse Taj Nagri Phase 2 formerly Grand Rivera,Fatehabad Road,Very Good,4,98,6309,71,1545
Uttar Pradesh,agra,Hotel O Shiv Shankar,Near Ram Bagh Crossing,Fair,3,121,3567,80,539
Uttar Pradesh,agra,Collection O Taj Nagri Agra formerly Urban Inn,Sector E-1,Very Good,4,32,4161,67,1133
Uttar Pradesh,agra,Hotel O Taj Nagar Phase 2 Formerly Aicon palace,Near Taj Mahal,Very Good,4,28,3467,71,823
Uttar Pradesh,agra,Four Seasons,Near LIC Building,Excellent,4.5,700,2648,56,946
Uttar Pradesh,agra,Townhouse Oak Agra Near Sultanganj Puliya formerly BB Grand ,Kamla Nagar,Very Good,4,149,6655,71,1580
Uttar Pradesh,agra,Townhouse Dayal Lodge - A Boutique Hotel,Dayalbagh Road,Excellent,4.5,774,5138,64,1493
Uttar Pradesh,agra,Super Hotel O Ganpati Agra,Near Near TDI mall,Very Good,4,78,2619,71,598
Uttar Pradesh,agra,Hotel O Tajganj Near Taj Mahal West Gate,Near Fatehbad Metro Station,Very Good,4,295,4198,68,1109
Uttar Pradesh,agra,Townhouse Taj Nagri Basai Formerly Royal Empire,Basai,Very Good,4,85,5408,67,1473
Uttar Pradesh,agra,Hotel O SHANTI PALACE,Near Kargil Petrol Pump,Fair,3,247,2418,71,547
Uttar Pradesh,agra,HOTEL O THE ELITE INN,Near Indrapuram,Excellent,4.5,5,3091,71,700
Uttar Pradesh,agra,Hotel O Kanha Continental,Behind C C D,Very Good,4,257,3112,71,714
Uttar Pradesh,agra,Super Hotel O Taj Nagri Near Taj Mahal East Gate formerly Riviera,Fatehabad Road,Very Good,4,1483,4488,67,1223
Uttar Pradesh,agra,Hotel O NR Inn,Near TDI Mall,Very Good,4,171,2928,67,760
Uttar Pradesh,agra,Super Hotel O Taj Classic,From shilpgram parking to right hand and you will find your location left in Ganga Vihar colony,Fabulous,5,299,4158,68,1069
Uttar Pradesh,agra,Hotel O Vanshika,377,Fair,3,110,2085,67,547
Uttar Pradesh,agra,Hotel O Taj Angel Home stay,Phase-1null,Good,3.5,127,2138,68,542
Uttar Pradesh,agra,Hotel O G L Palace,Near Dauji Sweets,Very Good,4,4,3154,74,641
Gujarat,ahmedabad,Hotel O N Y,Gota,Very Good,4,272,5117,72,1173
Gujarat,ahmedabad,Hotel O Meet Palace,Vastrapur Road,Very Good,4,72,3604,72,818
Gujarat,ahmedabad,Hotel O Apollo,Near Municipal Market,Very Good,4,62,3397,68,859
Gujarat,ahmedabad,Hotel O bhanu Villa,Navrangpura,Very Good,4,110,3640,76,691
Gujarat,ahmedabad,Hotel O Malva,nikol Ahmedabad,Excellent,4.5,10,3443,72,774
Gujarat,ahmedabad,Hotel O Dream Stay,S.G.Highway-Changodhar Road,Good,3.5,6,2984,71,662
Gujarat,ahmedabad,Hotel O Swagat Inn,Ambli - Bopal Road,Very Good,4,71,3924,71,885
Gujarat,ahmedabad,Hotel O Crystal,Near Navrangpura Cross Road,Fair,3,224,2964,72,645
Gujarat,ahmedabad,Hotel O K Villa,R.r estate near Jaipur golden transport s.g. highway Ujala Circle Sarkhej,Excellent,4.5,30,4245,68,1075
Gujarat,ahmedabad,Palette River Front formerly Host Inn,Khanpur,Excellent,4.5,750,8575,68,2265
Gujarat,ahmedabad,Hotel O Hill Park,Near Odhav GIDC,Very Good,4,4,2422,72,541
Gujarat,ahmedabad,Hotel O Swagat Inn,Navarangpura,Very Good,4,133,4238,74,880
Gujarat,ahmedabad,Hotel O Exotic Inn,Naranpuranull,Good,3.5,51,2746,72,614
Gujarat,ahmedabad,Hotel O Signature,Ellisbridge,Fair,3,41,3761,74,781
Gujarat,ahmedabad,Hotel O Sai Villa,Motera,Good,3.5,98,3249,71,733
Gujarat,ahmedabad,HOTEL O AIRPORT VIEW,Nearby Landmark- Nr AirPort Nr SAI BABA TEMPLE,Fabulous,5,8,4918,72,1134
Gujarat,ahmedabad,Hotel O Patang 24,New York Trade Center -B opposite Domino's Pizzathaltej cross Road,Fair,3,2,3659,71,835
Gujarat,ahmedabad,Hotel O Laxmi Villa,Near Narol Circle,Fabulous,5,2,3255,72,726
Gujarat,ahmedabad,Collection O Royal King,Ring Road,Very Good,4,55,3344,72,760
Gujarat,ahmedabad,Hotel O Keshav,Near swastik cross road ,Very Good,4,62,2912,73,625
Gujarat,ahmedabad,Hotel O Sleep Inn,Ghodasar Char Rasta,Good,3.5,9,3321,72,742
Gujarat,ahmedabad,Hotel O Skyland,Near Swastik Char Rasta,Fair,3,23,3192,71,716
Gujarat,ahmedabad,Hotel O Satkar,Navrangpura,Very Good,4,57,3401,72,769
Gujarat,ahmedabad,Hotel O La Veera,Near Toran Dinning Hall,Fabulous,5,97,3787,72,861
Gujarat,ahmedabad,Hotel O Sri Balaji Residency,Near Acropolis Mall,Good,3.5,24,4051,72,937
Gujarat,ahmedabad,Hotel O R S Palace,Navrangpura Ahmedabad,Good,3.5,84,3166,70,729
Gujarat,ahmedabad,Hotel Liberty,Mithakhali Six Road,Good,3.5,70,3923,73,841
Gujarat,ahmedabad,Townhouse Rajyash Rise,South Vasna,Very Good,4,326,5797,68,1490
Gujarat,ahmedabad,Hotel O Poonam Palace,Near city gold cinema ashram road ahmedabad,Fair,3,71,3154,73,655
Gujarat,ahmedabad,Hotel O Balaji,Near Law Garden,Very Good,4,28,3667,71,833
Gujarat,ahmedabad,Hotel O Divya Palace,Divya Mangal Arcade,Fair,3,217,3752,71,845
Gujarat,ahmedabad,Hotel O Blue Moon,Near Railway Station,Excellent,4.5,9,3129,71,737
Gujarat,ahmedabad,Hotel O Rion Inn,usmanpura,Very Good,4,144,3377,72,759
Gujarat,ahmedabad,Hotel O Red Apple,Near OLD Juna Wadaj Circle,Fabulous,5,1,4072,68,1030
Gujarat,ahmedabad,Hotel O Surbhi Inn,3rd floor Anand Complex Gulab Tower Road Nr Zydus Cross Roads S. G Highway Thaltej,Good,3.5,16,4104,72,940
Gujarat,ahmedabad,Hotel O Veejay,Sardar Patel Nagar,Very Good,4,57,3058,72,693
Gujarat,ahmedabad,Hotel O Shubham Inn,Baghban cross road,Very Good,4,105,4375,71,1025
Gujarat,ahmedabad,Hotel O C3 Celebration City Centre,Near Bopal Police Station,Very Good,4,26,5771,68,1491
Gujarat,ahmedabad,Collection O Airport Road formerly Hotel Kyra,Near Indira Bridge Circle,Excellent,4.5,511,4819,68,1272
Gujarat,ahmedabad,Hotel O Royal Inn,Behrampura,Fair,3,97,2404,73,497
Gujarat,ahmedabad,Super Collection O Maninagar Near Railway Station formerly A1 Residency,Maninagar,Very Good,4,192,3948,68,997
Gujarat,ahmedabad,Collection O Ashram Road Near Sardar Bridge formerly Hotel Apple Inn,Paldi Gaam,Excellent,4.5,278,3772,72,877
Gujarat,ahmedabad,Hotel O Silver Plaza,2nd Floor ,Very Good,4,109,2912,78,480
Gujarat,ahmedabad,Collection O Maninagar East Formerly Maninagar Residency,First Floor D K Complex Near Kashivishvanath Mahadev Maninagar,Excellent,4.5,6,3652,71,829
Gujarat,ahmedabad,Super Hotel O Navrangpura CG Road,Navrangpura,Fabulous,5,202,3625,71,819
Gujarat,ahmedabad,Super Hotel O Nana Chiloda Near Airport,Nana Chiloda,Excellent,4.5,687,4282,68,1130
Gujarat,ahmedabad,Super Collection O Alpha One,Ring Road Circle,Very Good,4,244,2895,69,721
Gujarat,ahmedabad,Townhouse Prahladnagar,Near Shell Petrol Pump,Excellent,4.5,1192,4317,68,1140
Gujarat,ahmedabad,Hotel O Hathijan Vatva formerly Hotel Dev Palace,Near Hathijan Circle,Very Good,4,73,4789,72,1136
Gujarat,ahmedabad,Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,Near Kalupur Station,Fabulous,5,294,4242,71,1007
Gujarat,ahmedabad,Super Collection O Maninagar formerly Park Land,Maninagar,Excellent,4.5,330,4355,68,1150
Gujarat,ahmedabad,Super Hotel O Geeta Mandir formerly Hotel Green Park,Behrampura,Fabulous,5,176,4105,67,1073
Gujarat,ahmedabad,Hotel O Shubham Inn,Near Navrangpura Cr Rd,Excellent,4.5,201,3627,74,737
Gujarat,ahmedabad,Hotel O Navjivan,Near Shraddha Complex,Good,3.5,59,3384,78,601
Gujarat,ahmedabad,Super Collection O Kalupur Railway Station,Near Kalupur Railway Station ,Fabulous,5,71,5477,71,1301
Gujarat,ahmedabad,Hotel O Neelkanth Palace,Motera Road,Good,3.5,33,3207,72,728
Gujarat,ahmedabad,Hotel O SG Highway Ahmedabad,Ahmedabad ,Good,3.5,90,3454,74,712
Gujarat,ahmedabad,Capital O Kadamb INN,Near City Gold Cinema ,Very Good,4,156,3099,71,698
Rajasthan,ajmer,Super Hotel O Ajmer Central formerly Grand Suman,Gol Chakkar,Excellent,4.5,476,3890,76,770
Rajasthan,ajmer,Hotel O Kesarganj formerly Suman Palace,Near Ice factory,Excellent,4.5,195,2929,75,564
Rajasthan,ajmer,Collection O Beawer Road Ajmer formerly Hotel Gupta Palace,ramganj,Excellent,4.5,9,3659,68,966
Rajasthan,ajmer,Collection O Ramganj formerly Hotel Gupta Inn,Near Beawar Road,Fabulous,5,32,3675,72,872
