,Place,Hotel Name,Destination,Actual Price,Offer Percentage,Price,Ratings,Review
0,agra,Hotel O Sai President,Near Rawali Mandir,₹3962,71%,₹932,453,Good
1,agra,Hotel O ASA AGRA,Plot number 1 Fatehabad road Plot number 1 Fatehabad road  Fatehabad Roadnull,₹2912,72%,₹648,275,Excellent
2,agra,Hotel O Salt And Pepper Hotel And Resturant,Near Prachin Pathwari Mandir,₹4948,71%,₹1137,137,Good
3,agra,Hotel O KING PALACE,Near Fatehabad Road,₹3378,71%,₹797,9,Excellent
4,agra,Hotel O 804621 Hotel Vintage House,1717 Fatehabad Road,₹2912,70%,₹702,134,Excellent
5,agra,Hotel O Golden Grand,Taj Nagri -1 agraBasai Khurd Agra Uttar Pradeshindia282001,₹2932,72%,₹662,56,Excellent
6,agra,Hotel O VK Palace ,Vibhav Nagar,₹3414,72%,₹777,1,Fabulous
7,agra,Super Capital O Taj Castle,30/6 17A/A,₹3907,68%,₹1007,372,Very Good
8,agra,Hotel O Grandfather,Near Jalsa,₹3299,71%,₹750,8,Excellent
9,agra,Hotel O KNIGHT IN HOMESTAY,Fatehabad road ,₹3385,71%,₹770,14,Very Good
10,agra,Hotel O R.K GUEST HOUSE & RESTAURANT ,Plot no 2/1 Jalesar Road tedi Baghia Tiraha Jalesar Raod agra,₹2697,72%,₹606,2,Fair
11,agra,HOTEL O LAKSHYA PALACE ,c Palace Dehtora Road Bodla,₹3252,71%,₹739,48,Good
12,agra,Hotel O Chaudhary Raj Hotal ,002002State Highway 39,₹2697,72%,₹606,1,Fabulous
13,agra,Hotel O Taj Wonder Inn,Beside Nikhil Garden phase 2  Near panchwati Beside Nikhil Garden phase 2 Near  Panchvatinull,₹3365,72%,₹752,29,Very Good
14,agra,Hotel O 7 STAR Hotel & Restaurant ,M/1 Nandlal Pur Hathras Road Agra,₹2697,72%,₹606,,
15,agra,Hotel O Om Palace,khasra num 84 Kali mata mandir pashim puri SIKANDRA agra pashimpuri kali mandir,₹2105,67%,₹539,,
16,agra,Super Townhouse Taj Nagri Phase 2 formerly Grand Rivera,Fatehabad Road,₹6309,71%,₹1545,98,Very Good
17,agra,Hotel O Shiv Shankar,Near Ram Bagh Crossing,₹3567,80%,₹539,121,Fair
18,agra,Collection O Taj Nagri Agra formerly Urban Inn,Sector E-1,₹4161,67%,₹1133,32,Very Good
19,agra,Hotel O Taj Nagar Phase 2 Formerly Aicon palace,Near Taj Mahal,₹3467,71%,₹823,28,Very Good
20,agra,Four Seasons,Near LIC Building,₹2648,56%,₹946,700,Excellent
21,agra,Townhouse Oak Agra Near Sultanganj Puliya formerly BB Grand ,Kamla Nagar,₹6655,71%,₹1580,149,Very Good
22,agra,Townhouse Dayal Lodge - A Boutique Hotel,Dayalbagh Road,₹5138,64%,₹1493,774,Excellent
23,agra,Super Hotel O Ganpati Agra,Near Near TDI mall,₹2619,71%,₹598,78,Very Good
24,agra,Hotel O Tajganj Near Taj Mahal West Gate,Near Fatehbad Metro Station,₹4198,68%,₹1109,295,Very Good
25,agra,Townhouse Taj Nagri Basai Formerly Royal Empire,Basai,₹5408,67%,₹1473,85,Very Good
26,agra,Hotel O SHANTI PALACE,Near Kargil Petrol Pump,₹2418,71%,₹547,247,Fair
27,agra,HOTEL O THE ELITE INN,Near Indrapuram,₹3091,71%,₹700,5,Excellent
28,agra,Hotel O Kanha Continental,Behind C C D,₹3112,71%,₹714,257,Very Good
29,agra,Super Hotel O Taj Nagri Near Taj Mahal East Gate formerly Riviera,Fatehabad Road,₹4488,67%,₹1223,1483,Very Good
30,agra,Hotel O NR Inn,Near TDI Mall,₹2928,67%,₹760,171,Very Good
31,agra,Super Hotel O Taj Classic,From shilpgram parking to right hand and you will find your location left in Ganga Vihar colony,₹4158,68%,₹1069,299,Fabulous
32,agra,Hotel O Vanshika,377,₹2085,67%,₹547,110,Fair
33,agra,Hotel O Taj Angel Home stay,Phase-1null,₹2138,68%,₹542,127,Good
34,agra,Hotel O G L Palace,Near Dauji Sweets,₹3154,74%,₹641,4,Very Good
35,agra,SPOT ON Hotel Radhe Shyam INN,Dholpur,₹2697,72%,₹606,,
36,ahmedabad,Hotel O N Y,Gota,₹5117,72%,₹1173,272,Very Good
37,ahmedabad,Hotel O Meet Palace,Vastrapur Road,₹3604,72%,₹818,72,Very Good
38,ahmedabad,Hotel O Apollo,Near Municipal Market,₹3397,68%,₹859,62,Very Good
39,ahmedabad,Hotel O bhanu Villa,Navrangpura,₹3640,76%,₹691,110,Very Good
40,ahmedabad,Hotel O Malva,nikol Ahmedabad,₹3443,72%,₹774,10,Excellent
41,ahmedabad,Hotel O Dream Stay,S.G.Highway-Changodhar Road,₹2984,71%,₹662,6,Good
42,ahmedabad,Hotel O Swagat Inn,Ambli - Bopal Road,₹3924,71%,₹885,71,Very Good
43,ahmedabad,Hotel O Crystal,Near Navrangpura Cross Road,₹2964,72%,₹645,224,Fair
44,ahmedabad,Hotel O K Villa,R.r estate near Jaipur golden transport s.g. highway Ujala Circle Sarkhej,₹4245,68%,₹1075,30,Excellent
45,ahmedabad,Palette River Front formerly Host Inn,Khanpur,₹8575,68%,₹2265,750,Excellent
46,ahmedabad,Hotel O Hill Park,Near Odhav GIDC,₹2422,72%,₹541,4,Very Good
47,ahmedabad,Hotel O Swagat Inn,Navarangpura,₹4238,74%,₹880,133,Very Good
48,ahmedabad,Hotel O Exotic Inn,Naranpuranull,₹2746,72%,₹614,51,Good
49,ahmedabad,Hotel O Signature,Ellisbridge,₹3761,74%,₹781,41,Fair
50,ahmedabad,Hotel O Sai Villa,Motera,₹3249,71%,₹733,98,Good
51,ahmedabad,HOTEL O AIRPORT VIEW,Nearby Landmark- Nr AirPort Nr SAI BABA TEMPLE,₹4918,72%,₹1134,8,Fabulous
52,ahmedabad,Hotel O Patang 24,New York Trade Center -B opposite Domino's Pizzathaltej cross Road,₹3659,71%,₹835,2,Fair
53,ahmedabad,Hotel O Laxmi Villa,Near Narol Circle,₹3255,72%,₹726,2,Fabulous
54,ahmedabad,Collection O Royal King,Ring Road,₹3344,72%,₹760,55,Very Good
55,ahmedabad,Hotel O Keshav,Near swastik cross road ,₹2912,73%,₹625,62,Very Good
56,ahmedabad,Hotel O Sleep Inn,Ghodasar Char Rasta,₹3321,72%,₹742,9,Good
57,ahmedabad,Hotel O Skyland,Near Swastik Char Rasta,₹3192,71%,₹716,23,Fair
58,ahmedabad,Hotel O Satkar,Navrangpura,₹3401,72%,₹769,57,Very Good
59,ahmedabad,Hotel O La Veera,Near Toran Dinning Hall,₹3787,72%,₹861,97,Fabulous
60,ahmedabad,Hotel O Sri Balaji Residency,Near Acropolis Mall,₹4051,72%,₹937,24,Good
61,ahmedabad,Collection O Park View,,₹3640,72%,₹799,46,Good
62,ahmedabad,Hotel O R S Palace,Navrangpura Ahmedabad,₹3166,70%,₹729,84,Good
63,ahmedabad,Hotel Liberty,Mithakhali Six Road,₹3923,73%,₹841,70,Good
64,ahmedabad,Townhouse Rajyash Rise,South Vasna,₹5797,68%,₹1490,326,Very Good
65,ahmedabad,Hotel O Poonam Palace,Near city gold cinema ashram road ahmedabad,₹3154,73%,₹655,71,Fair
66,ahmedabad,Hotel O Balaji,Near Law Garden,₹3667,71%,₹833,28,Very Good
67,ahmedabad,Hotel O Divya Palace,Divya Mangal Arcade,₹3752,71%,₹845,217,Fair
68,ahmedabad,Hotel O Blue Moon,Near Railway Station,₹3129,71%,₹737,9,Excellent
69,ahmedabad,Hotel O Rion Inn,usmanpura,₹3377,72%,₹759,144,Very Good
70,ahmedabad,Hotel O Red Apple,Near OLD Juna Wadaj Circle,₹4072,68%,₹1030,1,Fabulous
71,ahmedabad,Hotel O Surbhi Inn,3rd floor Anand Complex Gulab Tower Road Nr Zydus Cross Roads S. G Highway Thaltej,₹4104,72%,₹940,16,Good
72,ahmedabad,Hotel O Veejay,Sardar Patel Nagar,₹3058,72%,₹693,57,Very Good
73,ahmedabad,Hotel O Shubham Inn,Baghban cross road,₹4375,71%,₹1025,105,Very Good
74,ahmedabad,Hotel O C3 Celebration City Centre,Near Bopal Police Station,₹5771,68%,₹1491,26,Very Good
75,ahmedabad,Hotel O Shagun Inn,Swastik Society,₹3415,72%,₹764,,
76,ahmedabad,Collection O Airport Road formerly Hotel Kyra,Near Indira Bridge Circle,₹4819,68%,₹1272,511,Excellent
77,ahmedabad,Hotel O Royal Inn,Behrampura,₹2404,73%,₹497,97,Fair
78,ahmedabad,Super Collection O Maninagar Near Railway Station formerly A1 Residency,Maninagar,₹3948,68%,₹997,192,Very Good
79,ahmedabad,Collection O Ashram Road Near Sardar Bridge formerly Hotel Apple Inn,Paldi Gaam,₹3772,72%,₹877,278,Excellent
80,ahmedabad,Hotel O Silver Plaza,2nd Floor ,₹2912,78%,₹480,109,Very Good
81,ahmedabad,Collection O Maninagar East Formerly Maninagar Residency,First Floor D K Complex Near Kashivishvanath Mahadev Maninagar,₹3652,71%,₹829,6,Excellent
82,ahmedabad,Super Hotel O Navrangpura CG Road,Navrangpura,₹3625,71%,₹819,202,Fabulous
83,ahmedabad,Super Hotel O Nana Chiloda Near Airport,Nana Chiloda,₹4282,68%,₹1130,687,Excellent
84,ahmedabad,Super Collection O Alpha One,Ring Road Circle,₹2895,69%,₹721,244,Very Good
85,ahmedabad,Townhouse Prahladnagar,Near Shell Petrol Pump,₹4317,68%,₹1140,1192,Excellent
86,ahmedabad,Hotel O Hathijan Vatva formerly Hotel Dev Palace,Near Hathijan Circle,₹4789,72%,₹1136,73,Very Good
87,ahmedabad,Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,Near Kalupur Station,₹4242,71%,₹1007,294,Fabulous
88,ahmedabad,Super Collection O Maninagar formerly Park Land,Maninagar,₹4355,68%,₹1150,330,Excellent
89,ahmedabad,Super Hotel O Geeta Mandir formerly Hotel Green Park,Behrampura,₹4105,67%,₹1073,176,Fabulous
90,ahmedabad,Hotel O Shubham Inn,Near Navrangpura Cr Rd,₹3627,74%,₹737,201,Excellent
91,ahmedabad,Hotel O Navjivan,Near Shraddha Complex,₹3384,78%,₹601,59,Good
92,ahmedabad,Super Collection O Kalupur Railway Station,Near Kalupur Railway Station ,₹5477,71%,₹1301,71,Fabulous
93,ahmedabad,Hotel O Neelkanth Palace,Motera Road,₹3207,72%,₹728,33,Good
94,ahmedabad,Hotel O SG Highway Ahmedabad,Ahmedabad ,₹3454,74%,₹712,90,Good
95,ahmedabad,Capital O Kadamb INN,Near City Gold Cinema ,₹3099,71%,₹698,156,Very Good
96,ajmer,Super Hotel O Ajmer Central formerly Grand Suman,Gol Chakkar,₹3890,76%,₹770,476,Excellent
97,ajmer,Hotel O Kesarganj formerly Suman Palace,Near Ice factory,₹2929,75%,₹564,195,Excellent
98,ajmer,Collection O Beawer Road Ajmer formerly Hotel Gupta Palace,ramganj,₹3659,68%,₹966,9,Excellent
99,ajmer,Collection O Ramganj formerly Hotel Gupta Inn,Near Beawar Road,₹3675,72%,₹872,32,Fabulous
